date,ini_time,sw_type,band_type,ongoing,curvature,0_trof_time,4_inext,3_inext,2_inext,1_inext,0_inext,1_inext,2_inext,3_inext,4_inext,delta(4by2),delta(2by0),delta(0by2),delta(2by4),delta(4 by 0),delta(0by4),delta(4by1),delta(1by1),delta(1by4),delta(4by3),delta(3by2),delta(2by1),delta(1by0),delta(1by0),delta(2-1),delta(3-2),delta(4-3),4_angle,3_angle,2_angle,1_angle,0_angle,1_angle,2_angle,3_angle,4_angle,4_width,3_width,2_width,1_width,0_width,1_width,2_width,3_width,4_width,4_move,3_move,2_move,1_move,0_move,1_move,2_move,3_move,4_move,4_str,2_str,0_str,2_str,4_str,d(2-4)_width,d(0-2)_width,d(2-0)_width,d(4-2)_width,d(2-4)_move,d(0-2)_move,d(2-0)_move,d(4-2)_move
15/11/2014,15,5,1,1,1,21,185.2,182.8,184.2,172.8,197.3,114.4,92.4,109.7,128.7,-2.4,13.1,-104.9,19,12.1,-68.6,-12.4,-58.4,14.3,-2.4,1.4,-11.4,24.5,-82.9,-22,17.3,19,NA,NA,NA,NA,NA,270,260,260,260,33.1,26.1,33.5,36.1,52.1,55.8,65.9,46.4,39.7,29.3,18.9,20.1,61.6,72.6,69,80.6,78.7,87.9,1,1,2,1,3,0.4,18.6,13.8,-26.2,-9.2,52.5,8,7.3
18/11/2014,0,5,1,1,1,18,284.3,290.6,302.4,300.4,296.9,130.5,122.6,142.5,142.3,6.3,-5.5,-174.3,-0.2,12.6,-154.6,16.1,-169.9,11.8,6.3,11.8,-2,-3.5,-166.4,-7.9,19.9,-0.2,255,255,255,255,255,255,255,255,255,23.4,27.5,29.1,32,35.8,31.1,31.8,28.1,18.7,97,96.4,94.6,91.5,87.3,86.7,80.6,86.7,86.1,2,2,2,3,3,5.7,6.7,-4,-13.1,-2.4,-7.3,-6.7,5.5
19/11/2014,6,5,1,1,1,0,142.3,144.7,152.3,137.9,129.3,127.1,273,281.4,314.4,2.4,-23,143.7,33,-13,185.1,-4.4,-10.8,187.3,2.4,7.6,-14.4,-8.6,-2.2,145.9,8.4,33,260,260,260,265,260,260,255,265,265,37.2,19.2,35.5,64.6,52.4,55.7,52.9,41.8,39.8,82.4,88.5,83.6,89.1,103.1,101.3,92.8,77.5,65.1,2,3,NA,NA,NA,-1.7,16.9,0.5,-13.1,1.2,19.5,-10.3,-27.7
21/11/2014,0,5,1,1,0,9,199.1,272.6,170.8,188.1,153.1,190.1,209.3,188.6,138,73.5,-17.7,56.2,-50.6,-46,-15.1,-11,2,-52.1,73.5,-101.8,17.3,-35,37,19.2,-20.7,-50.6,280,285,280,280,290,300,300,300,300,33.6,29.9,40.3,36.6,28.1,18.9,31.8,17.8,25,34.2,27.5,28.7,19.5,20.1,17.3,14,3.1,15.3,2,2,2,2,3,6.7,-12.2,3.7,-6.8,-5.5,-8.6,-6.1,1.3
31/12/2014,9,3,1,1,1,12,176.6,74.4,160.6,95.2,120.7,166.5,81,75.7,75.4,-102.2,-39.9,-39.7,-0.3,-55.9,-45.3,-81.4,71.3,-91.1,-102.2,86.2,-65.4,25.5,45.8,-85.5,-5.3,-0.3,275,270,270,270,270,275,280,285,280,29.7,34.8,36.1,31.4,24,23.2,20.1,11.7,23.8,37.2,44.6,39.7,30.5,26.2,18.9,22.6,21.4,27.5,2,2,3,2,2,6.4,-12.1,-3.9,3.7,2.5,-13.5,-3.6,4.9
5/1/2015,3,5,1,1,1,3,146.6,131.2,113.9,164.7,186,86,140.3,197.4,162.3,-15.4,72.1,-45.7,-35.1,39.4,-23.7,18.1,-78.7,76.3,-15.4,-17.3,50.8,21.3,-100,54.3,57.1,-35.1,265,260,260,255,260,260,270,280,270,11.1,34.9,18.6,54.7,50.4,25.7,22,49.1,50.7,71.4,48.2,41.5,28.1,15.3,32.3,51.3,26.2,36,1,2,1,1,3,7.5,31.8,-28.4,28.7,-29.9,-26.2,36,-15.3
6/1/2015,9,5,1,1,0,18,32,45,42.9,42,47.1,44.4,36.8,50,68.4,13,4.2,-10.3,18.4,15.1,21.3,10,2.4,24,13,-2.1,-0.9,5.1,-2.7,-7.6,13.2,18.4,270,270,270,270,265,260,260,255,250,21.4,13.4,14.2,12.8,14.7,13.3,23.5,36.4,54.8,67.7,69.6,77.5,81,88.5,93.4,92.8,99.5,80.5,2,2,2,1,1,-7.2,0.5,8.8,31.3,9.8,11,4.3,-12.3
7/1/2015,9,3,1,1,0,15,141.7,148.6,192.9,181.5,0,0,0,0,0,6.9,-192.9,0,0,-141.7,0,39.8,-181.5,0,6.9,44.3,-11.4,-181.5,0,0,0,0,260,270,280,300,300,275,300,300,300,40.2,33.7,38.1,4.5,7.3,5.1,3.2,NA,NA,37.8,14.5,-6.8,-50.8,-34.2,-15.3,-34.8,-33,-29.9,1,3,3,3,1,-2.1,-30.8,-4.1,NA,-44.6,-27.4,-0.6,4.9
9/3/2015,6,5,1,1,0,12,387.6,304.6,352.3,0,0,0,0,0,0,-83,-352.3,0,0,-387.6,0,-387.6,0,0,-83,47.7,-352.3,0,0,0,0,0,260,255,255,250,270,260,270,NA,NA,9.8,18.7,26.7,49.7,25.8,11.2,15.4,NA,NA,144,114.7,60.4,20.2,-37.4,-84.8,-118.4,NA,NA,3,1,2,3,3,16.9,-0.9,-10.4,NA,-83.6,-97.8,-81,
19/12/2015,9,5,1,1,1,9,147.7,189.5,232.6,250.4,299.6,305.9,300.6,311.1,295.1,41.8,67,1,-16,151.9,-4.5,102.7,55.5,-10.8,41.8,43.1,17.8,49.2,6.3,-5.3,10.5,-16,270,270,270,270,270,260,260,280,270,49.5,57.4,49.5,52.2,34.8,39.7,41.7,54.1,33.6,35.4,45.8,29.9,36,45.2,45.8,40.3,48.2,26.8,1,1,2,2,2,0,-14.7,6.9,-8.1,-5.5,15.3,-4.9,-13.5
